"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.fill.Identity32int.Def_to_Ref_as_Ref_fill","avgt",1,15,10188425.763276,4775841.280058,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,208.121658,52.545084,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,22136824.110574,17209870.881462,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.New_to_Ref_as_Ref_fill","avgt",1,15,179.053031,39.297807,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.New_to_Ref_as_Ref_fill","avgt",1,15,20830791.800938,10153639.807241,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,140.802566,42.240989,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,17850159.444255,12697918.944312,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,161.700700,43.301107,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,25127453.767606,11565867.984800,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_fill_fillstat","avgt",1,15,170.940858,50.493289,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_fill_fillstat","avgt",1,15,20893206.006927,11116617.334867,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,157.986985,26.893180,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,15367115.032795,10420921.555299,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,182.038370,51.454215,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,12808723.916663,11457586.504658,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.Def_to_Ref_as_Ref_fill","avgt",1,15,468.604265,141.126542,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Def_to_Ref_as_Ref_fill","avgt",1,15,10350215.920101,7735514.932375,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.New_to_Ref_as_Ref_arrayfill","avgt",1,15,201.962018,59.327983,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.New_to_Ref_as_Ref_arrayfill","avgt",1,15,23204672.939785,17462357.026042,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.New_to_Ref_as_Ref_fill","avgt",1,15,217.536677,64.643384,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.New_to_Ref_as_Ref_fill","avgt",1,15,28362654.107930,14015239.690898,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,171.503670,33.740412,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,24997403.361164,16079766.988607,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,149.670143,50.601868,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,29511169.985841,10203663.466205,"ns/op",1000000
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_fill_fillstat","avgt",1,15,144.526670,54.431852,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_fill_fillstat","avgt",1,15,26989752.903590,17525323.550338,"ns/op",1000000
